protein1 protein2
YAL012W YER091C
YAL012W YJR148W
YAL012W YFR055W
YAL012W YGR155W
YAL012W YGR264C
YAL012W YLL058W
YAL012W YHR025W
YAL012W YKL106W
YAL012W YLR180W
YAL012W YJR130C
YAL013W YBR095C
YAL013W YIL084C
YAL013W YBR103W
YAL013W YKL185W
YAL013W YGL194C
YAL013W YMR263W
YAL013W YDR224C
YAL013W YBL002W
YAL013W YPR023C
YAL013W YOL004W
YAL013W YKR029C
YAL013W YNL330C
YAL013W YPL139C
YAL013W YPL181W
YAL013W YBL054W
YAL013W YMR075W
YAL013W YDR207C
YAL013W YDL076C
YAL013W YNL097C
YAL013W YNL031C
YAL013W YCR033W
YAL014C YAL030W
YAL014C YGL212W
YAL014C YMR197C
YAL014C YOR106W
YAL014C YOR036W
YAL014C YKL196C
YAL015C YML021C
YAL015C YBL019W
YAL015C YMR201C
YAL015C YKL114C
YAL015C YML060W
YAL015C YOL043C
YAL016W YBL046W
YAL016W YGL190C
YAL016W YLR433C
YAL016W YKL212W
YAL016W YHR075C
YAL016W YMR029C
YAL016W YPR040W
YAL016W YKL193C
YAL016W YDR075W
YAL016W YGR161C
YAL016W YOR178C
YAL016W YER133W
YAL016W YOR014W
YAL016W YNL217W
YAL016W YLR238W
YAL016W YNL127W
YAL016W YML057W
YAL016W YDL134C
YAL016W YIL153W
YAL016W YMR028W
YAL016W YPL152W
YAL016W YDR200C
YAL016W YKL190W
YAL016W YNR032W
YAL016W YML109W
YAL016W YNL201C
YAL016W YDL188C
YAL016W YDR435C
YAL016W YDL047W
YAL017W YKL035W
YAL018C YBL010C
YAL019W YHR164C
YAL019W YOL090W
YAL019W YOR033C
YAL019W YAL025C
YAL020C YBL071W-A
YAL021C YGL173C
YAL021C YKR036C
YAL021C YNL118C
YAL021C YJL124C
YAL021C YNL288W
YAL021C YDL160C
YAL021C YEL015W
YAL021C YER165W
YAL021C YDR252W
YAL021C YKL025C
YAL021C YGL178W
YAL021C YPR072W
YAL021C YGR134W
YAL021C YNR052C
YAL021C YDL165W
YAL021C YIL038C
YAL021C YLL013C
YAL021C YOL149W
YAL021C YER068W
YAL021C YFL028C
YAL021C YCR093W
YAL021C YGL094C
YAL023C YDR245W
YAL023C YJR075W
YAL023C YGL027C
YAL023C YJR143C
YAL023C YOR099W
YAL023C YBR205W
YAL023C YOR321W
YAL023C YEL036C
YAL023C YML115C
YAL023C YDR483W
YAL023C YDL095W
YAL023C YDL093W
YAL024C YMR055C
YAL024C YOR195W
YAL024C YHR152W
YAL024C YJR053W
YAL024C YHL007C
YAL024C YNL098C
YAL024C YHR158C
YAL024C YAR019C
YAL024C YLR229C
YAL024C YFR028C
YAL024C YOR233W
YAL024C YML064C
YAL024C YGR092W
YAL024C YBR160W
YAL024C YMR001C
YAL024C YGR238C
YAL024C YIL106W
YAL024C YPR119W
YAL025C YPL043W
YAL025C YLR186W
YAL025C YPL093W
YAL025C YPR016C
YAL025C YHR052W
YAL025C YDR060W
YAL025C YHR197W
YAL025C YCR072C
YAL025C YOR046C
YAL025C YIR012W
YAL025C YKL082C
YAL025C YJL177W
YAL025C YCR087C-A
YAL025C YOR056C
YAL025C YLL011W
YAL025C YKL180W
YAL025C YNL132W
YAL025C YJR002W
YAL025C YLR106C
YAL025C YNL151C
YAL025C YOL080C
YAL025C YAR007C
YAL025C YNL002C
YAL025C YDL031W
YAL025C YDR091C
YAL025C YFR031C-A
YAL025C YNL227C
YAL025C YHR065C
YAL025C YDL148C
YAL025C YLR074C
YAL025C YMR269W
YAL025C YPL146C
YAL025C YER056C-A
YAL025C YER082C
YAL025C YPR143W
YAL025C YBL027W
YAL025C YGR245C
YAL025C YOR063W
YAL025C YKR024C
YAL025C YPR144C
YAL025C YFR001W
YAL025C YLR409C
YAL025C YJL010C
YAL025C YHL001W
YAL025C YHR170W
YAL025C YOR004W
YAL025C YJL033W
YAL025C YML093W
YAL025C YPL226W
YAL025C YPL266W
YAL025C YGR218W
YAL025C YJL122W
YAL025C YOR340C
YAL025C YLR051C
YAL025C YDR361C
YAL025C YCL059C
YAL025C YBR247C
YAL025C YJL148W
YAL025C YDR312W
YAL025C YOL077C
YAL025C YLR221C
YAL025C YLR175W
YAL025C YOR206W
YAL025C YDL153C
YAL025C YDL191W
YAL025C YDR496C
YAL025C YBR143C
YAL025C YDR449C
YAL025C YDR471W
YAL025C YGL078C
YAL025C YLR276C
YAL025C YKL099C
YAL025C YDR500C
YAL025C YPL217C
YAL025C YAL059W
YAL025C YMR229C
YAL025C YDR299W
YAL025C YGR159C
YAL025C YGR271C-A
YAL025C YLR397C
YAL025C YKL021C
YAL025C YMR093W
YAL025C YDR365C
YAL025C YKL009W
YAL025C YMR014W
YAL025C YGL171W
YAL025C YPR112C
YAL025C YLR197W
YAL025C YLR002C
YAL025C YJR070C
YAL025C YDL136W
YAL025C YIL127C
YAL025C YGL076C
YAL025C YOR287C
